,D,P,mode,ppn,time,"(P, ppn)"
44,256.0,16.0,0.0,8.0,0.222519,"(16.0, 8.0)"
45,256.0,16.0,1.0,8.0,0.260093,"(16.0, 8.0)"
46,2048.0,16.0,0.0,8.0,0.783433,"(16.0, 8.0)"
47,2048.0,16.0,1.0,8.0,0.60542,"(16.0, 8.0)"
48,16.0,4.0,0.0,1.0,0.002054,"(4.0, 1.0)"
49,16.0,4.0,1.0,1.0,0.00582,"(4.0, 1.0)"
50,256.0,4.0,0.0,1.0,0.038729,"(4.0, 1.0)"
51,256.0,4.0,1.0,1.0,0.014797,"(4.0, 1.0)"
52,2048.0,4.0,0.0,1.0,0.071681,"(4.0, 1.0)"
53,2048.0,4.0,1.0,1.0,0.044585,"(4.0, 1.0)"
54,16.0,4.0,0.0,8.0,0.076099,"(4.0, 8.0)"
55,16.0,4.0,1.0,8.0,0.097229,"(4.0, 8.0)"
56,256.0,4.0,0.0,8.0,0.177307,"(4.0, 8.0)"
57,256.0,4.0,1.0,8.0,0.201903,"(4.0, 8.0)"
58,2048.0,4.0,0.0,8.0,0.901556,"(4.0, 8.0)"
59,2048.0,4.0,1.0,8.0,0.446538,"(4.0, 8.0)"
60,16.0,16.0,0.0,1.0,0.0691,"(16.0, 1.0)"
61,16.0,16.0,1.0,1.0,0.067173,"(16.0, 1.0)"
62,256.0,16.0,0.0,1.0,0.090736,"(16.0, 1.0)"
63,256.0,16.0,1.0,1.0,0.127705,"(16.0, 1.0)"
64,2048.0,16.0,0.0,1.0,0.546371,"(16.0, 1.0)"
65,2048.0,16.0,1.0,1.0,0.215521,"(16.0, 1.0)"
66,16.0,16.0,0.0,8.0,0.138284,"(16.0, 8.0)"
67,16.0,16.0,1.0,8.0,0.14238,"(16.0, 8.0)"
68,256.0,16.0,0.0,8.0,0.200165,"(16.0, 8.0)"
69,256.0,16.0,1.0,8.0,0.25403,"(16.0, 8.0)"
70,2048.0,16.0,0.0,8.0,0.709965,"(16.0, 8.0)"
71,2048.0,16.0,1.0,8.0,0.676565,"(16.0, 8.0)"
72,16.0,4.0,0.0,1.0,0.009459,"(4.0, 1.0)"
73,16.0,4.0,1.0,1.0,0.002339,"(4.0, 1.0)"
74,256.0,4.0,0.0,1.0,0.027248,"(4.0, 1.0)"
75,256.0,4.0,1.0,1.0,0.021831,"(4.0, 1.0)"
76,2048.0,4.0,0.0,1.0,0.077297,"(4.0, 1.0)"
77,2048.0,4.0,1.0,1.0,0.043762,"(4.0, 1.0)"
78,16.0,4.0,0.0,8.0,0.087413,"(4.0, 8.0)"
79,16.0,4.0,1.0,8.0,0.083992,"(4.0, 8.0)"
80,256.0,4.0,0.0,8.0,0.171399,"(4.0, 8.0)"
81,256.0,4.0,1.0,8.0,0.203651,"(4.0, 8.0)"
82,2048.0,4.0,0.0,8.0,0.930006,"(4.0, 8.0)"
83,2048.0,4.0,1.0,8.0,0.450812,"(4.0, 8.0)"
84,16.0,16.0,0.0,1.0,0.030224,"(16.0, 1.0)"
85,16.0,16.0,1.0,1.0,0.012366,"(16.0, 1.0)"
86,256.0,16.0,0.0,1.0,0.053387,"(16.0, 1.0)"
87,256.0,16.0,1.0,1.0,0.035857,"(16.0, 1.0)"
88,2048.0,16.0,0.0,1.0,0.361287,"(16.0, 1.0)"
89,2048.0,16.0,1.0,1.0,0.08961,"(16.0, 1.0)"
90,16.0,16.0,0.0,8.0,0.227429,"(16.0, 8.0)"
91,16.0,16.0,1.0,8.0,0.421561,"(16.0, 8.0)"
92,256.0,16.0,0.0,8.0,0.395237,"(16.0, 8.0)"
93,256.0,16.0,1.0,8.0,0.406207,"(16.0, 8.0)"
94,2048.0,16.0,0.0,8.0,1.054726,"(16.0, 8.0)"
95,2048.0,16.0,1.0,8.0,1.135368,"(16.0, 8.0)"
96,16.0,4.0,0.0,1.0,0.000653,"(4.0, 1.0)"
97,16.0,4.0,1.0,1.0,0.01444,"(4.0, 1.0)"
98,256.0,4.0,0.0,1.0,0.142427,"(4.0, 1.0)"
99,256.0,4.0,1.0,1.0,0.104202,"(4.0, 1.0)"
100,2048.0,4.0,0.0,1.0,0.352696,"(4.0, 1.0)"
101,2048.0,4.0,1.0,1.0,0.258609,"(4.0, 1.0)"
102,16.0,4.0,0.0,8.0,0.178817,"(4.0, 8.0)"
103,16.0,4.0,1.0,8.0,0.225817,"(4.0, 8.0)"
104,256.0,4.0,0.0,8.0,0.389612,"(4.0, 8.0)"
105,256.0,4.0,1.0,8.0,0.513679,"(4.0, 8.0)"
106,2048.0,4.0,0.0,8.0,1.922832,"(4.0, 8.0)"
107,2048.0,4.0,1.0,8.0,0.99068,"(4.0, 8.0)"
108,16.0,16.0,0.0,1.0,0.035802,"(16.0, 1.0)"
109,16.0,16.0,1.0,1.0,0.016173,"(16.0, 1.0)"
110,256.0,16.0,0.0,1.0,0.047933,"(16.0, 1.0)"
111,256.0,16.0,1.0,1.0,0.077623,"(16.0, 1.0)"
112,2048.0,16.0,0.0,1.0,0.320389,"(16.0, 1.0)"
113,2048.0,16.0,1.0,1.0,0.126564,"(16.0, 1.0)"
114,16.0,16.0,0.0,8.0,0.189965,"(16.0, 8.0)"
115,16.0,16.0,1.0,8.0,0.313757,"(16.0, 8.0)"
116,256.0,16.0,0.0,8.0,0.328029,"(16.0, 8.0)"
117,256.0,16.0,1.0,8.0,0.673567,"(16.0, 8.0)"
118,2048.0,16.0,0.0,8.0,1.092164,"(16.0, 8.0)"
119,2048.0,16.0,1.0,8.0,1.339495,"(16.0, 8.0)"
120,16.0,4.0,0.0,1.0,0.00785,"(4.0, 1.0)"
121,16.0,4.0,1.0,1.0,0.012412,"(4.0, 1.0)"
122,256.0,4.0,0.0,1.0,0.0276,"(4.0, 1.0)"
123,256.0,4.0,1.0,1.0,0.006968,"(4.0, 1.0)"
124,2048.0,4.0,0.0,1.0,0.087852,"(4.0, 1.0)"
125,2048.0,4.0,1.0,1.0,0.06128,"(4.0, 1.0)"
126,16.0,4.0,0.0,8.0,0.08355,"(4.0, 8.0)"
127,16.0,4.0,1.0,8.0,0.090031,"(4.0, 8.0)"
128,256.0,4.0,0.0,8.0,0.146479,"(4.0, 8.0)"
129,256.0,4.0,1.0,8.0,0.216006,"(4.0, 8.0)"
130,2048.0,4.0,0.0,8.0,0.882208,"(4.0, 8.0)"
131,2048.0,4.0,1.0,8.0,0.480747,"(4.0, 8.0)"
132,16.0,16.0,0.0,1.0,0.090525,"(16.0, 1.0)"
133,16.0,16.0,1.0,1.0,0.06486,"(16.0, 1.0)"
134,256.0,16.0,0.0,1.0,0.113635,"(16.0, 1.0)"
135,256.0,16.0,1.0,1.0,0.06591,"(16.0, 1.0)"
136,2048.0,16.0,0.0,1.0,0.567149,"(16.0, 1.0)"
137,2048.0,16.0,1.0,1.0,0.231674,"(16.0, 1.0)"
138,16.0,16.0,0.0,8.0,0.187406,"(16.0, 8.0)"
139,16.0,16.0,1.0,8.0,0.213579,"(16.0, 8.0)"
140,256.0,16.0,0.0,8.0,0.360787,"(16.0, 8.0)"
141,256.0,16.0,1.0,8.0,0.445608,"(16.0, 8.0)"
142,2048.0,16.0,0.0,8.0,1.387188,"(16.0, 8.0)"
143,2048.0,16.0,1.0,8.0,1.128524,"(16.0, 8.0)"
144,16.0,4.0,0.0,1.0,0.015843,"(4.0, 1.0)"
145,16.0,4.0,1.0,1.0,0.023174,"(4.0, 1.0)"
146,256.0,4.0,0.0,1.0,0.047121,"(4.0, 1.0)"
147,256.0,4.0,1.0,1.0,0.095658,"(4.0, 1.0)"
148,2048.0,4.0,0.0,1.0,0.241546,"(4.0, 1.0)"
149,2048.0,4.0,1.0,1.0,0.126589,"(4.0, 1.0)"
150,16.0,4.0,0.0,8.0,0.083076,"(4.0, 8.0)"
151,16.0,4.0,1.0,8.0,0.1071,"(4.0, 8.0)"
152,256.0,4.0,0.0,8.0,0.162641,"(4.0, 8.0)"
153,256.0,4.0,1.0,8.0,0.235757,"(4.0, 8.0)"
154,2048.0,4.0,0.0,8.0,0.865935,"(4.0, 8.0)"
155,2048.0,4.0,1.0,8.0,0.409818,"(4.0, 8.0)"
156,16.0,16.0,0.0,1.0,0.028396,"(16.0, 1.0)"
157,16.0,16.0,1.0,1.0,0.030007,"(16.0, 1.0)"
158,256.0,16.0,0.0,1.0,0.053497,"(16.0, 1.0)"
159,256.0,16.0,1.0,1.0,0.048536,"(16.0, 1.0)"
160,2048.0,16.0,0.0,1.0,0.266241,"(16.0, 1.0)"
161,2048.0,16.0,1.0,1.0,0.092584,"(16.0, 1.0)"
162,16.0,16.0,0.0,8.0,0.116057,"(16.0, 8.0)"
163,16.0,16.0,1.0,8.0,0.158194,"(16.0, 8.0)"
164,256.0,16.0,0.0,8.0,0.218995,"(16.0, 8.0)"
165,256.0,16.0,1.0,8.0,0.248061,"(16.0, 8.0)"
166,2048.0,16.0,0.0,8.0,0.734438,"(16.0, 8.0)"
167,2048.0,16.0,1.0,8.0,0.664375,"(16.0, 8.0)"
168,16.0,4.0,0.0,1.0,0.013778,"(4.0, 1.0)"
169,16.0,4.0,1.0,1.0,0.000625,"(4.0, 1.0)"
170,256.0,4.0,0.0,1.0,0.024087,"(4.0, 1.0)"
171,256.0,4.0,1.0,1.0,0.009747,"(4.0, 1.0)"
172,2048.0,4.0,0.0,1.0,0.07194,"(4.0, 1.0)"
173,2048.0,4.0,1.0,1.0,0.055924,"(4.0, 1.0)"
174,16.0,4.0,0.0,8.0,0.084213,"(4.0, 8.0)"
175,16.0,4.0,1.0,8.0,0.091469,"(4.0, 8.0)"
176,256.0,4.0,0.0,8.0,0.150817,"(4.0, 8.0)"
177,256.0,4.0,1.0,8.0,0.196125,"(4.0, 8.0)"
178,2048.0,4.0,0.0,8.0,0.902748,"(4.0, 8.0)"
179,2048.0,4.0,1.0,8.0,0.454443,"(4.0, 8.0)"
180,16.0,16.0,0.0,1.0,0.059309,"(16.0, 1.0)"
181,16.0,16.0,1.0,1.0,0.05296,"(16.0, 1.0)"
182,256.0,16.0,0.0,1.0,0.13625,"(16.0, 1.0)"
183,256.0,16.0,1.0,1.0,0.137675,"(16.0, 1.0)"
184,2048.0,16.0,0.0,1.0,0.830585,"(16.0, 1.0)"
185,2048.0,16.0,1.0,1.0,0.478404,"(16.0, 1.0)"
186,16.0,16.0,0.0,8.0,0.20728,"(16.0, 8.0)"
187,16.0,16.0,1.0,8.0,0.391335,"(16.0, 8.0)"
188,256.0,16.0,0.0,8.0,0.298473,"(16.0, 8.0)"
189,256.0,16.0,1.0,8.0,0.37124,"(16.0, 8.0)"
190,2048.0,16.0,0.0,8.0,1.120019,"(16.0, 8.0)"
191,2048.0,16.0,1.0,8.0,0.995804,"(16.0, 8.0)"
192,16.0,4.0,0.0,1.0,0.009907,"(4.0, 1.0)"
193,16.0,4.0,1.0,1.0,0.022518,"(4.0, 1.0)"
194,256.0,4.0,0.0,1.0,0.036293,"(4.0, 1.0)"
195,256.0,4.0,1.0,1.0,0.067705,"(4.0, 1.0)"
196,2048.0,4.0,0.0,1.0,0.150676,"(4.0, 1.0)"
197,2048.0,4.0,1.0,1.0,0.113349,"(4.0, 1.0)"
198,16.0,4.0,0.0,8.0,0.156414,"(4.0, 8.0)"
199,16.0,4.0,1.0,8.0,0.220841,"(4.0, 8.0)"
200,256.0,4.0,0.0,8.0,0.311698,"(4.0, 8.0)"
201,256.0,4.0,1.0,8.0,0.388295,"(4.0, 8.0)"
202,2048.0,4.0,0.0,8.0,1.64665,"(4.0, 8.0)"
203,2048.0,4.0,1.0,8.0,1.121601,"(4.0, 8.0)"
204,16.0,16.0,0.0,1.0,0.230369,"(16.0, 1.0)"
205,16.0,16.0,1.0,1.0,0.395949,"(16.0, 1.0)"
206,256.0,16.0,0.0,1.0,0.377022,"(16.0, 1.0)"
207,256.0,16.0,1.0,1.0,0.471543,"(16.0, 1.0)"
208,2048.0,16.0,0.0,1.0,2.235323,"(16.0, 1.0)"
209,2048.0,16.0,1.0,1.0,0.905271,"(16.0, 1.0)"
210,16.0,16.0,0.0,8.0,0.385077,"(16.0, 8.0)"
211,16.0,16.0,1.0,8.0,0.531878,"(16.0, 8.0)"
212,256.0,16.0,0.0,8.0,0.770513,"(16.0, 8.0)"
213,256.0,16.0,1.0,8.0,0.616475,"(16.0, 8.0)"
214,2048.0,16.0,0.0,8.0,1.537338,"(16.0, 8.0)"
215,2048.0,16.0,1.0,8.0,0.695007,"(16.0, 8.0)"
216,16.0,4.0,0.0,1.0,0.007216,"(4.0, 1.0)"
217,16.0,4.0,1.0,1.0,0.000638,"(4.0, 1.0)"
218,256.0,4.0,0.0,1.0,0.026846,"(4.0, 1.0)"
219,256.0,4.0,1.0,1.0,0.025715,"(4.0, 1.0)"
220,2048.0,4.0,0.0,1.0,0.087645,"(4.0, 1.0)"
221,2048.0,4.0,1.0,1.0,0.044873,"(4.0, 1.0)"
222,16.0,4.0,0.0,8.0,0.157947,"(4.0, 8.0)"
223,16.0,4.0,1.0,8.0,0.251214,"(4.0, 8.0)"
224,256.0,4.0,0.0,8.0,0.376536,"(4.0, 8.0)"
225,256.0,4.0,1.0,8.0,0.383232,"(4.0, 8.0)"
226,2048.0,4.0,0.0,8.0,1.777096,"(4.0, 8.0)"
227,2048.0,4.0,1.0,8.0,0.993973,"(4.0, 8.0)"
228,16.0,16.0,0.0,1.0,0.09451,"(16.0, 1.0)"
229,16.0,16.0,1.0,1.0,0.099611,"(16.0, 1.0)"
230,256.0,16.0,0.0,1.0,0.124404,"(16.0, 1.0)"
231,256.0,16.0,1.0,1.0,0.082795,"(16.0, 1.0)"
232,2048.0,16.0,0.0,1.0,0.346991,"(16.0, 1.0)"
233,2048.0,16.0,1.0,1.0,0.212024,"(16.0, 1.0)"
234,16.0,16.0,0.0,8.0,0.217523,"(16.0, 8.0)"
235,16.0,16.0,1.0,8.0,0.239079,"(16.0, 8.0)"
236,256.0,16.0,0.0,8.0,0.425662,"(16.0, 8.0)"
237,256.0,16.0,1.0,8.0,0.44311,"(16.0, 8.0)"
238,2048.0,16.0,0.0,8.0,1.053254,"(16.0, 8.0)"
239,2048.0,16.0,1.0,8.0,1.186897,"(16.0, 8.0)"
