,D,P,mode,ppn,time,"(P, ppn)"
88,2048.0,16.0,0.0,1.0,0.343234,"(16.0, 1.0)"
89,2048.0,16.0,1.0,1.0,0.232281,"(16.0, 1.0)"
90,16.0,16.0,0.0,8.0,0.129542,"(16.0, 8.0)"
91,16.0,16.0,1.0,8.0,0.150114,"(16.0, 8.0)"
92,256.0,16.0,0.0,8.0,0.299849,"(16.0, 8.0)"
93,256.0,16.0,1.0,8.0,0.243535,"(16.0, 8.0)"
94,2048.0,16.0,0.0,8.0,0.869963,"(16.0, 8.0)"
95,2048.0,16.0,1.0,8.0,0.784578,"(16.0, 8.0)"
96,16.0,4.0,0.0,1.0,0.001489,"(4.0, 1.0)"
97,16.0,4.0,1.0,1.0,0.001175,"(4.0, 1.0)"
98,256.0,4.0,0.0,1.0,0.017661,"(4.0, 1.0)"
99,256.0,4.0,1.0,1.0,0.038579,"(4.0, 1.0)"
100,2048.0,4.0,0.0,1.0,0.07654,"(4.0, 1.0)"
101,2048.0,4.0,1.0,1.0,0.040076,"(4.0, 1.0)"
102,16.0,4.0,0.0,8.0,0.196746,"(4.0, 8.0)"
103,16.0,4.0,1.0,8.0,0.240412,"(4.0, 8.0)"
104,256.0,4.0,0.0,8.0,0.373092,"(4.0, 8.0)"
105,256.0,4.0,1.0,8.0,0.378098,"(4.0, 8.0)"
106,2048.0,4.0,0.0,8.0,1.405387,"(4.0, 8.0)"
107,2048.0,4.0,1.0,8.0,1.124992,"(4.0, 8.0)"
108,16.0,16.0,0.0,1.0,0.001522,"(16.0, 1.0)"
109,16.0,16.0,1.0,1.0,0.005016,"(16.0, 1.0)"
110,256.0,16.0,0.0,1.0,0.028548,"(16.0, 1.0)"
111,256.0,16.0,1.0,1.0,0.05113,"(16.0, 1.0)"
112,2048.0,16.0,0.0,1.0,0.170802,"(16.0, 1.0)"
113,2048.0,16.0,1.0,1.0,0.104275,"(16.0, 1.0)"
114,16.0,16.0,0.0,8.0,0.12911,"(16.0, 8.0)"
115,16.0,16.0,1.0,8.0,0.152291,"(16.0, 8.0)"
116,256.0,16.0,0.0,8.0,0.276223,"(16.0, 8.0)"
117,256.0,16.0,1.0,8.0,0.263355,"(16.0, 8.0)"
118,2048.0,16.0,0.0,8.0,0.880283,"(16.0, 8.0)"
119,2048.0,16.0,1.0,8.0,0.802763,"(16.0, 8.0)"
120,16.0,4.0,0.0,1.0,0.022185,"(4.0, 1.0)"
121,16.0,4.0,1.0,1.0,0.017094,"(4.0, 1.0)"
122,256.0,4.0,0.0,1.0,0.089845,"(4.0, 1.0)"
123,256.0,4.0,1.0,1.0,0.072806,"(4.0, 1.0)"
124,2048.0,4.0,0.0,1.0,0.220516,"(4.0, 1.0)"
125,2048.0,4.0,1.0,1.0,0.239403,"(4.0, 1.0)"
126,16.0,4.0,0.0,8.0,0.090559,"(4.0, 8.0)"
127,16.0,4.0,1.0,8.0,0.110334,"(4.0, 8.0)"
128,256.0,4.0,0.0,8.0,0.27343,"(4.0, 8.0)"
129,256.0,4.0,1.0,8.0,0.219383,"(4.0, 8.0)"
130,2048.0,4.0,0.0,8.0,0.803774,"(4.0, 8.0)"
131,2048.0,4.0,1.0,8.0,0.59887,"(4.0, 8.0)"
132,16.0,16.0,0.0,1.0,0.005911,"(16.0, 1.0)"
133,16.0,16.0,1.0,1.0,0.021346,"(16.0, 1.0)"
134,256.0,16.0,0.0,1.0,0.026881,"(16.0, 1.0)"
135,256.0,16.0,1.0,1.0,0.018032,"(16.0, 1.0)"
136,2048.0,16.0,0.0,1.0,0.185944,"(16.0, 1.0)"
137,2048.0,16.0,1.0,1.0,0.10001,"(16.0, 1.0)"
138,16.0,16.0,0.0,8.0,0.252763,"(16.0, 8.0)"
139,16.0,16.0,1.0,8.0,0.276641,"(16.0, 8.0)"
140,256.0,16.0,0.0,8.0,0.51036,"(16.0, 8.0)"
141,256.0,16.0,1.0,8.0,0.500745,"(16.0, 8.0)"
142,2048.0,16.0,0.0,8.0,1.388827,"(16.0, 8.0)"
143,2048.0,16.0,1.0,8.0,1.366445,"(16.0, 8.0)"
144,16.0,4.0,0.0,1.0,0.001689,"(4.0, 1.0)"
145,16.0,4.0,1.0,1.0,0.000733,"(4.0, 1.0)"
146,256.0,4.0,0.0,1.0,0.012669,"(4.0, 1.0)"
147,256.0,4.0,1.0,1.0,0.006748,"(4.0, 1.0)"
148,2048.0,4.0,0.0,1.0,0.053448,"(4.0, 1.0)"
149,2048.0,4.0,1.0,1.0,0.069369,"(4.0, 1.0)"
150,16.0,4.0,0.0,8.0,0.097535,"(4.0, 8.0)"
151,16.0,4.0,1.0,8.0,0.101618,"(4.0, 8.0)"
152,256.0,4.0,0.0,8.0,0.243861,"(4.0, 8.0)"
153,256.0,4.0,1.0,8.0,0.211437,"(4.0, 8.0)"
154,2048.0,4.0,0.0,8.0,0.819105,"(4.0, 8.0)"
155,2048.0,4.0,1.0,8.0,0.627294,"(4.0, 8.0)"
156,16.0,16.0,0.0,1.0,0.003819,"(16.0, 1.0)"
157,16.0,16.0,1.0,1.0,0.001702,"(16.0, 1.0)"
158,256.0,16.0,0.0,1.0,0.025853,"(16.0, 1.0)"
159,256.0,16.0,1.0,1.0,0.026048,"(16.0, 1.0)"
160,2048.0,16.0,0.0,1.0,0.206949,"(16.0, 1.0)"
161,2048.0,16.0,1.0,1.0,0.104998,"(16.0, 1.0)"
162,16.0,16.0,0.0,8.0,0.242329,"(16.0, 8.0)"
163,16.0,16.0,1.0,8.0,0.241427,"(16.0, 8.0)"
164,256.0,16.0,0.0,8.0,0.445796,"(16.0, 8.0)"
165,256.0,16.0,1.0,8.0,0.434998,"(16.0, 8.0)"
166,2048.0,16.0,0.0,8.0,1.324011,"(16.0, 8.0)"
167,2048.0,16.0,1.0,8.0,1.247627,"(16.0, 8.0)"
168,16.0,4.0,0.0,1.0,0.001025,"(4.0, 1.0)"
169,16.0,4.0,1.0,1.0,0.001703,"(4.0, 1.0)"
170,256.0,4.0,0.0,1.0,0.010809,"(4.0, 1.0)"
171,256.0,4.0,1.0,1.0,0.010996,"(4.0, 1.0)"
172,2048.0,4.0,0.0,1.0,0.065943,"(4.0, 1.0)"
173,2048.0,4.0,1.0,1.0,0.049178,"(4.0, 1.0)"
174,16.0,4.0,0.0,8.0,0.10554,"(4.0, 8.0)"
175,16.0,4.0,1.0,8.0,0.103555,"(4.0, 8.0)"
176,256.0,4.0,0.0,8.0,0.20632,"(4.0, 8.0)"
177,256.0,4.0,1.0,8.0,0.178629,"(4.0, 8.0)"
178,2048.0,4.0,0.0,8.0,0.646259,"(4.0, 8.0)"
179,2048.0,4.0,1.0,8.0,0.52917,"(4.0, 8.0)"
180,16.0,16.0,0.0,1.0,0.004691,"(16.0, 1.0)"
181,16.0,16.0,1.0,1.0,0.002191,"(16.0, 1.0)"
182,256.0,16.0,0.0,1.0,0.027777,"(16.0, 1.0)"
183,256.0,16.0,1.0,1.0,0.021492,"(16.0, 1.0)"
184,2048.0,16.0,0.0,1.0,0.16213,"(16.0, 1.0)"
185,2048.0,16.0,1.0,1.0,0.106396,"(16.0, 1.0)"
186,16.0,16.0,0.0,8.0,0.097357,"(16.0, 8.0)"
187,16.0,16.0,1.0,8.0,0.148488,"(16.0, 8.0)"
188,256.0,16.0,0.0,8.0,0.204267,"(16.0, 8.0)"
189,256.0,16.0,1.0,8.0,0.233174,"(16.0, 8.0)"
190,2048.0,16.0,0.0,8.0,0.645938,"(16.0, 8.0)"
191,2048.0,16.0,1.0,8.0,0.721125,"(16.0, 8.0)"
192,16.0,4.0,0.0,1.0,0.011192,"(4.0, 1.0)"
193,16.0,4.0,1.0,1.0,0.008069,"(4.0, 1.0)"
194,256.0,4.0,0.0,1.0,0.015889,"(4.0, 1.0)"
195,256.0,4.0,1.0,1.0,0.015295,"(4.0, 1.0)"
196,2048.0,4.0,0.0,1.0,0.157658,"(4.0, 1.0)"
197,2048.0,4.0,1.0,1.0,0.089631,"(4.0, 1.0)"
198,16.0,4.0,0.0,8.0,0.184755,"(4.0, 8.0)"
199,16.0,4.0,1.0,8.0,0.248329,"(4.0, 8.0)"
200,256.0,4.0,0.0,8.0,0.457549,"(4.0, 8.0)"
201,256.0,4.0,1.0,8.0,0.395366,"(4.0, 8.0)"
202,2048.0,4.0,0.0,8.0,1.457259,"(4.0, 8.0)"
203,2048.0,4.0,1.0,8.0,1.153596,"(4.0, 8.0)"
204,16.0,16.0,0.0,1.0,0.016613,"(16.0, 1.0)"
205,16.0,16.0,1.0,1.0,0.008982,"(16.0, 1.0)"
206,256.0,16.0,0.0,1.0,0.110221,"(16.0, 1.0)"
207,256.0,16.0,1.0,1.0,0.01689,"(16.0, 1.0)"
208,2048.0,16.0,0.0,1.0,0.217701,"(16.0, 1.0)"
209,2048.0,16.0,1.0,1.0,0.127259,"(16.0, 1.0)"
210,16.0,16.0,0.0,8.0,0.293411,"(16.0, 8.0)"
211,16.0,16.0,1.0,8.0,0.289675,"(16.0, 8.0)"
212,256.0,16.0,0.0,8.0,0.595674,"(16.0, 8.0)"
213,256.0,16.0,1.0,8.0,0.462009,"(16.0, 8.0)"
214,2048.0,16.0,0.0,8.0,2.057843,"(16.0, 8.0)"
215,2048.0,16.0,1.0,8.0,1.774872,"(16.0, 8.0)"
216,16.0,4.0,0.0,1.0,0.017317,"(4.0, 1.0)"
217,16.0,4.0,1.0,1.0,0.013742,"(4.0, 1.0)"
218,256.0,4.0,0.0,1.0,0.067486,"(4.0, 1.0)"
219,256.0,4.0,1.0,1.0,0.056392,"(4.0, 1.0)"
220,2048.0,4.0,0.0,1.0,0.248661,"(4.0, 1.0)"
221,2048.0,4.0,1.0,1.0,0.212246,"(4.0, 1.0)"
222,16.0,4.0,0.0,8.0,0.24956,"(4.0, 8.0)"
223,16.0,4.0,1.0,8.0,0.224173,"(4.0, 8.0)"
224,256.0,4.0,0.0,8.0,0.539025,"(4.0, 8.0)"
225,256.0,4.0,1.0,8.0,0.429658,"(4.0, 8.0)"
226,2048.0,4.0,0.0,8.0,1.624272,"(4.0, 8.0)"
227,2048.0,4.0,1.0,8.0,1.252091,"(4.0, 8.0)"
228,16.0,16.0,0.0,1.0,0.053917,"(16.0, 1.0)"
229,16.0,16.0,1.0,1.0,0.061431,"(16.0, 1.0)"
230,256.0,16.0,0.0,1.0,0.152263,"(16.0, 1.0)"
231,256.0,16.0,1.0,1.0,0.067292,"(16.0, 1.0)"
232,2048.0,16.0,0.0,1.0,0.41811,"(16.0, 1.0)"
233,2048.0,16.0,1.0,1.0,0.526054,"(16.0, 1.0)"
234,16.0,16.0,0.0,8.0,0.139139,"(16.0, 8.0)"
235,16.0,16.0,1.0,8.0,0.143235,"(16.0, 8.0)"
236,256.0,16.0,0.0,8.0,0.287069,"(16.0, 8.0)"
237,256.0,16.0,1.0,8.0,0.24402,"(16.0, 8.0)"
238,2048.0,16.0,0.0,8.0,0.977179,"(16.0, 8.0)"
239,2048.0,16.0,1.0,8.0,0.751231,"(16.0, 8.0)"
